                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.58468,                0.58291,                0.32677,                0.77394,                0.99577,                0.99623,                0.99498,                0.79218,                0.97067,                0.96519,                0.96289,                0.49503,                0.80817,                  1.216,                0.34776,                0.79873,             0.00048732,             0.00048732,             0.00048732
                     39,                0.57919,                0.58109,                0.32412,                0.77415,                0.99403,                0.99311,                0.99493,                0.80262,                0.96861,                 0.9657,                0.96636,                0.49141,                0.78882,                 1.1895,                 0.3484,                 0.7974,              0.0004797,              0.0004797,              0.0004797
                     40,                0.58062,                0.57685,                0.32382,                0.77387,                0.99422,                0.99524,                0.99493,                0.80272,                0.96523,                0.96534,                0.96312,                0.49408,                0.78873,                 1.1722,                0.34522,                0.79703,             0.00047209,             0.00047209,             0.00047209
                     41,                0.56984,                   0.57,                0.31816,                0.77326,                0.98955,                0.98832,                 0.9945,                0.79747,                0.95683,                0.95479,                0.95651,                0.47703,                0.80508,                  1.282,                0.35994,                0.79866,             0.00046448,             0.00046448,             0.00046448
                     42,                0.56845,                0.57096,                0.31665,                0.77341,                 0.9931,                0.99357,                0.99495,                0.80241,                0.96612,                0.96159,                0.96399,                0.49469,                0.79737,                 1.2597,                0.34594,                0.79768,             0.00045686,             0.00045686,             0.00045686
                     43,                0.56537,                 0.5759,                0.31821,                0.77363,                0.99031,                0.99185,                0.99466,                0.80895,                0.96197,                 0.9612,                0.96473,                0.49128,                0.76943,                 1.1907,                0.34485,                0.79578,             0.00044925,             0.00044925,             0.00044925
                     44,                0.56827,                0.57111,                0.31661,                0.77377,                 0.9949,                0.99536,                0.99498,                0.80488,                0.96943,                0.96423,                0.96444,                0.49652,                0.77511,                 1.2001,                0.33684,                0.79576,             0.00044164,             0.00044164,             0.00044164
                     45,                0.56269,                0.56752,                0.31135,                0.77407,                0.99563,                0.99548,                0.99498,                0.80388,                0.96569,                0.96535,                0.96326,                0.50113,                0.78171,                 1.1536,                0.33792,                0.79707,             0.00043402,             0.00043402,             0.00043402
                     46,                0.56044,                0.56716,                0.31336,                0.77309,                0.99509,                0.99384,                0.99498,                0.80126,                0.96166,                0.95942,                0.95709,                0.48526,                0.78559,                 1.2772,                0.34078,                0.79779,             0.00042641,             0.00042641,             0.00042641
                     47,                0.56145,                0.56482,                0.31302,                0.77236,                0.99475,                0.99396,                0.99478,                0.80538,                 0.9692,                 0.9617,                0.96328,                0.49398,                0.77676,                 1.2346,                0.33546,                0.79686,              0.0004188,              0.0004188,              0.0004188
